County,Number
Albany,73
Allegany,10
Bronx,477
Broome,50
Cattaraugus,18
Cayuga,16
Chautauqua,28
Chemung,20
Chenango,10
Clinton,18
Columbia,11
Cortland,9
Delaware,12
Dutchess,59
Erie,237
Essex,11
Franklin,12
Fulton,15
Genesee,12
Greene,12
Hamilton,0
Herkimer,11
Jefferson,22
Kings,884
Lewis,4
Livingston,12
Madison,11
Monroe,139
Montgomery,13
Nassau,345
New York,640
Niagara,51
Oneida,56
Onondaga,102
Ontario,23
Orange,82
Orleans,9
Oswego,19
Otsego,15
Putnam,16
Queens,846
Rensselaer,32
Richmond,103
Rockland,61
Saratoga,41
Schenectady,32
Schoharie,6
Schuyler,4
Seneca,5
Steuben,20
Saint Lawrence,29
Suffolk,301
Sullivan,17
Tioga,5
Tompkins,20
Ulster,35
Warren,20
Washington,13
Wayne,16
Westchester,224
Wyoming,10
Yates,6